District,School,Grade,Year,Value
GALLUP-MCKINLEY ,CHIEF MANUELITO MIDDLE,B,2014-2015,4
GALLUP-MCKINLEY ,CHURCH ROCK ELEMENTARY,F,2014-2015,1
GALLUP-MCKINLEY ,CROWNPOINT ELEMENTARY,D,2014-2015,2
GALLUP-MCKINLEY ,CROWNPOINT HIGH,C,2014-2015,3
GALLUP-MCKINLEY ,CROWNPOINT MIDDLE,D,2014-2015,2
GALLUP-MCKINLEY ,DAVID SKEET ELEMENTARY,B,2014-2015,4
GALLUP-MCKINLEY ,EDUCATION DEV CENTERT,NA,2014-2015,NA
GALLUP-MCKINLEY ,GALLUP CENTRAL ALTERNATIVE,C,2014-2015,3
GALLUP-MCKINLEY ,GALLUP HIGH,C,2014-2015,3
GALLUP-MCKINLEY ,GALLUP MIDDLE,C,2014-2015,3
GALLUP-MCKINLEY ,INDIAN HILLS ELEMENTARY,A,2014-2015,5
GALLUP-MCKINLEY ,JEFFERSON ELEMENTARY,D,2014-2015,2
GALLUP-MCKINLEY ,JOHN F. KENNEDY MIDDLE,C,2014-2015,3
GALLUP-MCKINLEY ,JUAN DE ONATE ELEMENTARY,D,2014-2015,2
GALLUP-MCKINLEY ,LINCOLN ELEMENTARY,C,2014-2015,3
GALLUP-MCKINLEY ,MIDDLE COLLEGE HIGH,A,2014-2015,5
GALLUP-MCKINLEY ,MIYAMURA HIGH SCHOOL,B,2014-2015,4
GALLUP-MCKINLEY ,NAVAJO ELEMENTARY,D,2014-2015,2
GALLUP-MCKINLEY ,NAVAJO MIDDLE SCHOOL,C,2014-2015,3
GALLUP-MCKINLEY ,NAVAJO PINE HIGH,C,2014-2015,3
GALLUP-MCKINLEY ,RAMAH ELEMENTARY,C,2014-2015,3
GALLUP-MCKINLEY ,RAMAH HIGH,B,2014-2015,4
GALLUP-MCKINLEY ,RED ROCK ELEMENTARY,C,2014-2015,3
GALLUP-MCKINLEY ,ROCKY VIEW ELEMENTARY,F,2014-2015,1
GALLUP-MCKINLEY ,ROOSEVELT ELEMENTARY,D,2014-2015,2
GALLUP-MCKINLEY ,STAGECOACH ELEMENTARY,D,2014-2015,2
GALLUP-MCKINLEY ,THOREAU ELEMENTARY,D,2014-2015,2
GALLUP-MCKINLEY ,THOREAU HIGH,D,2014-2015,2
GALLUP-MCKINLEY ,THOREAU MIDDLE,F,2014-2015,1
GALLUP-MCKINLEY ,TOBE TURPEN ELEMENTARY,C,2014-2015,3
GALLUP-MCKINLEY ,TOHATCHI ELEMENTARY,C,2014-2015,3
GALLUP-MCKINLEY ,TOHATCHI HIGH,C,2014-2015,3
GALLUP-MCKINLEY ,TOHATCHI MIDDLE,D,2014-2015,2
GALLUP-MCKINLEY ,TSE'YI'GAI HIGH,C,2014-2015,3
GALLUP-MCKINLEY ,TWIN LAKES ELEMENTARY,C,2014-2015,3
GALLUP-MCKINLEY ,WASHINGTON ELEMENTARY,C,2014-2015,3
GALLUP-MCKINLEY ,CHEE DODGE ELEMENTARY,C,2015-2016,3
GALLUP-MCKINLEY ,CHIEF MANUELITO MIDDLE,B,2015-2016,4
GALLUP-MCKINLEY ,CHURCH ROCK ELEMENTARY,D,2015-2016,2
GALLUP-MCKINLEY ,CROWNPOINT ELEMENTARY,C,2015-2016,3
GALLUP-MCKINLEY ,CROWNPOINT HIGH,C,2015-2016,3
GALLUP-MCKINLEY ,CROWNPOINT MIDDLE,A,2015-2016,5
GALLUP-MCKINLEY ,DAVID SKEET ELEMENTARY,B,2015-2016,4
GALLUP-MCKINLEY ,EDUCATION DEV CENTERT,NA,2015-2016,NA
GALLUP-MCKINLEY ,GALLUP CENTRAL ALTERNATIVE,C,2015-2016,3
GALLUP-MCKINLEY ,GALLUP HIGH,C,2015-2016,3
GALLUP-MCKINLEY ,GALLUP MIDDLE,B,2015-2016,4
GALLUP-MCKINLEY ,INDIAN HILLS ELEMENTARY,A,2015-2016,5
GALLUP-MCKINLEY ,JEFFERSON ELEMENTARY,C,2015-2016,3
GALLUP-MCKINLEY ,JOHN F. KENNEDY MIDDLE,B,2015-2016,4
GALLUP-MCKINLEY ,JUAN DE ONATE ELEMENTARY,C,2015-2016,3
GALLUP-MCKINLEY ,LINCOLN ELEMENTARY,B,2015-2016,4
GALLUP-MCKINLEY ,MIDDLE COLLEGE HIGH,B,2015-2016,4
GALLUP-MCKINLEY ,MIYAMURA HIGH SCHOOL,C,2015-2016,3
GALLUP-MCKINLEY ,NAVAJO ELEMENTARY,D,2015-2016,2
GALLUP-MCKINLEY ,NAVAJO MIDDLE SCHOOL,D,2015-2016,2
GALLUP-MCKINLEY ,NAVAJO PINE HIGH,C,2015-2016,3
GALLUP-MCKINLEY ,RAMAH ELEMENTARY,D,2015-2016,2
GALLUP-MCKINLEY ,RAMAH HIGH,C,2015-2016,3
GALLUP-MCKINLEY ,RED ROCK ELEMENTARY,B,2015-2016,4
GALLUP-MCKINLEY ,ROCKY VIEW ELEMENTARY,C,2015-2016,3
GALLUP-MCKINLEY ,ROOSEVELT ELEMENTARY,D,2015-2016,2
GALLUP-MCKINLEY ,STAGECOACH ELEMENTARY,D,2015-2016,2
GALLUP-MCKINLEY ,THOREAU ELEMENTARY,B,2015-2016,4
GALLUP-MCKINLEY ,THOREAU HIGH,C,2015-2016,3
GALLUP-MCKINLEY ,THOREAU MIDDLE,D,2015-2016,2
GALLUP-MCKINLEY ,TOBE TURPEN ELEMENTARY,C,2015-2016,3
GALLUP-MCKINLEY ,TOHATCHI ELEMENTARY,C,2015-2016,3
GALLUP-MCKINLEY ,TOHATCHI HIGH,B,2015-2016,4
GALLUP-MCKINLEY ,TOHATCHI MIDDLE,C,2015-2016,3
GALLUP-MCKINLEY ,TSE'YI'GAI HIGH,B,2015-2016,4
GALLUP-MCKINLEY ,TWIN LAKES ELEMENTARY,C,2015-2016,3
GALLUP-MCKINLEY ,WASHINGTON ELEMENTARY,C,2015-2016,3
GALLUP-MCKINLEY ,CHEE DODGE ELEMENTARY,C,2016-2017,3
GALLUP-MCKINLEY ,CHIEF MANUELITO MIDDLE,C,2016-2017,3
GALLUP-MCKINLEY ,CHURCH ROCK ELEMENTARY,F,2016-2017,1
GALLUP-MCKINLEY ,CROWNPOINT ELEMENTARY,F,2016-2017,1
GALLUP-MCKINLEY ,CROWNPOINT HIGH,C,2016-2017,3
GALLUP-MCKINLEY ,CROWNPOINT MIDDLE,B,2016-2017,4
GALLUP-MCKINLEY ,DAVID SKEET ELEMENTARY,D,2016-2017,2
GALLUP-MCKINLEY ,GALLUP CENTRAL ALTERNATIVE,C,2016-2017,3
GALLUP-MCKINLEY ,GALLUP HIGH,C,2016-2017,3
GALLUP-MCKINLEY ,GALLUP MIDDLE,B,2016-2017,4
GALLUP-MCKINLEY ,INDIAN HILLS ELEMENTARY,C,2016-2017,3
GALLUP-MCKINLEY ,JEFFERSON ELEMENTARY,B,2016-2017,4
GALLUP-MCKINLEY ,JOHN F. KENNEDY MIDDLE,C,2016-2017,3
GALLUP-MCKINLEY ,JUAN DE ONATE ELEMENTARY,A,2016-2017,5
GALLUP-MCKINLEY ,LINCOLN ELEMENTARY,A,2016-2017,5
GALLUP-MCKINLEY ,MIDDLE COLLEGE HIGH,C,2016-2017,3
GALLUP-MCKINLEY ,MIYAMURA HIGH SCHOOL,C,2016-2017,3
GALLUP-MCKINLEY ,NAVAJO ELEMENTARY,D,2016-2017,2
GALLUP-MCKINLEY ,NAVAJO MIDDLE SCHOOL,D,2016-2017,2
GALLUP-MCKINLEY ,NAVAJO PINE HIGH,C,2016-2017,3
GALLUP-MCKINLEY ,RAMAH ELEMENTARY,B,2016-2017,4
GALLUP-MCKINLEY ,RAMAH HIGH,B,2016-2017,4
GALLUP-MCKINLEY ,RED ROCK ELEMENTARY,B,2016-2017,4
GALLUP-MCKINLEY ,ROCKY VIEW ELEMENTARY,D,2016-2017,2
GALLUP-MCKINLEY ,ROOSEVELT ELEMENTARY,D,2016-2017,2
GALLUP-MCKINLEY ,STAGECOACH ELEMENTARY,D,2016-2017,2
GALLUP-MCKINLEY ,THOREAU ELEMENTARY,D,2016-2017,2
GALLUP-MCKINLEY ,THOREAU HIGH,D,2016-2017,2
GALLUP-MCKINLEY ,THOREAU MIDDLE,D,2016-2017,2
GALLUP-MCKINLEY ,TOBE TURPEN ELEMENTARY,C,2016-2017,3
GALLUP-MCKINLEY ,TOHATCHI ELEMENTARY,C,2016-2017,3
GALLUP-MCKINLEY ,TOHATCHI HIGH,C,2016-2017,3
GALLUP-MCKINLEY ,TOHATCHI MIDDLE,F,2016-2017,1
GALLUP-MCKINLEY ,TSE'YI'GAI HIGH,A,2016-2017,5
GALLUP-MCKINLEY ,TWIN LAKES ELEMENTARY,F,2016-2017,1
GALLUP-MCKINLEY ,WASHINGTON ELEMENTARY,B,2016-2017,4
GALLUP-MCKINLEY ,CATHERINE A. MILLER ELEMENTARY,D,2017-2018,2
GALLUP-MCKINLEY ,CHEE DODGE ELEMENTARY,C,2017-2018,3
GALLUP-MCKINLEY ,CHIEF MANUELITO MIDDLE,C,2017-2018,3
GALLUP-MCKINLEY ,CROWNPOINT ELEMENTARY,F,2017-2018,1
GALLUP-MCKINLEY ,CROWNPOINT HIGH,D,2017-2018,2
GALLUP-MCKINLEY ,CROWNPOINT MIDDLE,B,2017-2018,4
GALLUP-MCKINLEY ,DAVID SKEET ELEMENTARY,D,2017-2018,2
GALLUP-MCKINLEY ,DEL NORTE ELEMENTARY,B,2017-2018,4
GALLUP-MCKINLEY ,GALLUP CENTRAL ALTERNATIVE,D,2017-2018,2
GALLUP-MCKINLEY ,GALLUP HIGH,C,2017-2018,3
GALLUP-MCKINLEY ,GALLUP MIDDLE,B,2017-2018,4
GALLUP-MCKINLEY ,INDIAN HILLS ELEMENTARY,C,2017-2018,3
GALLUP-MCKINLEY ,JEFFERSON ELEMENTARY,B,2017-2018,4
GALLUP-MCKINLEY ,JOHN F. KENNEDY MIDDLE,F,2017-2018,1
GALLUP-MCKINLEY ,LINCOLN ELEMENTARY,D,2017-2018,2
GALLUP-MCKINLEY ,MIDDLE COLLEGE HIGH,A,2017-2018,5
GALLUP-MCKINLEY ,MIYAMURA HIGH SCHOOL,B,2017-2018,4
GALLUP-MCKINLEY ,NAVAJO ELEMENTARY,F,2017-2018,1
GALLUP-MCKINLEY ,NAVAJO MIDDLE SCHOOL,C,2017-2018,3
GALLUP-MCKINLEY ,NAVAJO PINE HIGH,C,2017-2018,3
GALLUP-MCKINLEY ,RAMAH ELEMENTARY,A,2017-2018,5
GALLUP-MCKINLEY ,RAMAH HIGH,C,2017-2018,3
GALLUP-MCKINLEY ,RED ROCK ELEMENTARY,B,2017-2018,4
GALLUP-MCKINLEY ,ROCKY VIEW ELEMENTARY,C,2017-2018,3
GALLUP-MCKINLEY ,ROOSEVELT ELEMENTARY,C,2017-2018,3
GALLUP-MCKINLEY ,STAGECOACH ELEMENTARY,B,2017-2018,4
GALLUP-MCKINLEY ,THOREAU ELEMENTARY,F,2017-2018,1
GALLUP-MCKINLEY ,THOREAU HIGH,D,2017-2018,2
GALLUP-MCKINLEY ,THOREAU MIDDLE,C,2017-2018,3
GALLUP-MCKINLEY ,TOBE TURPEN ELEMENTARY,C,2017-2018,3
GALLUP-MCKINLEY ,TOHATCHI ELEMENTARY,C,2017-2018,3
GALLUP-MCKINLEY ,TOHATCHI HIGH,C,2017-2018,3
GALLUP-MCKINLEY ,TOHATCHI MIDDLE,C,2017-2018,3
GALLUP-MCKINLEY ,TSE'YI'GAI HIGH,B,2017-2018,4
GALLUP-MCKINLEY ,TWIN LAKES ELEMENTARY,D,2017-2018,2
GILBERT L SENA CHARTER HS,GILBERT L SENA CHARTER HS,B,2012-2013,4
GILBERT L SENA CHARTER HS,GILBERT L SENA CHARTER HS,B,2013-2014,4
GILBERT L SENA CHARTER HS,GILBERT L SENA CHARTER HS,C,2014-2015,3
GILBERT L SENA CHARTER HS,GILBERT L SENA CHARTER HS,B,2015-2016,4
GILBERT L SENA CHARTER HS,GILBERT L SENA CHARTER HS,B,2016-2017,4
GILBERT L SENA CHARTER HS,GILBERT L SENA CHARTER HS,B,2017-2018,4
GRADY,GRADY ELEMENTARY,B,2016-2017,4
GRADY,GRADY HIGH,A,2016-2017,5
GRADY,GRADY MIDDLE SCHOOL,C,2016-2017,3
GRADY,GRADY ELEMENTARY,B,2017-2018,4
GRADY,GRADY HIGH,A,2017-2018,5
GRADY,GRADY MIDDLE SCHOOL,D,2017-2018,2
GRADY ,GRADY ELEMENTARY,B,2012-2013,4
GRADY ,GRADY HIGH,A,2012-2013,5
GRADY ,GRADY MIDDLE SCHOOL,B,2012-2013,4
GRADY ,GRADY ELEMENTARY,A,2013-2014,5
GRADY ,GRADY HIGH,A,2013-2014,5
GRADY ,GRADY MIDDLE SCHOOL,B,2013-2014,4
GRADY ,GRADY ELEMENTARY,A,2014-2015,5
GRADY ,GRADY HIGH,A,2014-2015,5
GRADY ,GRADY MIDDLE SCHOOL,B,2014-2015,4
GRADY ,GRADY ELEMENTARY,A,2015-2016,5
GRADY ,GRADY HIGH,A,2015-2016,5
GRADY ,GRADY MIDDLE SCHOOL,B,2015-2016,4
GRANTS-CIBOLA ,BLUEWATER ELEMENTARY,B,2012-2013,4
GRANTS-CIBOLA ,CUBERO ELEMENTARY,C,2012-2013,3
GRANTS-CIBOLA ,GRANTS HIGH,B,2012-2013,4
GRANTS-CIBOLA ,LAGUNA-ACOMA HIGH,B,2012-2013,4
GRANTS-CIBOLA ,LAGUNA-ACOMA MIDDLE,D,2012-2013,2
GRANTS-CIBOLA ,LOS ALAMITOS MIDDLE,C,2012-2013,3
GRANTS-CIBOLA ,MESA VIEW ELEMENTARY,B,2012-2013,4
GRANTS-CIBOLA ,MILAN ELEMENTARY,D,2012-2013,2
GRANTS-CIBOLA ,MOUNT TAYLOR ELEMENTARY,C,2012-2013,3
GRANTS-CIBOLA ,SAN RAFAEL ELEMENTARY,F,2012-2013,1
GRANTS-CIBOLA ,SEBOYETA ELEMENTARY,B,2012-2013,4
GRANTS-CIBOLA ,BLUEWATER ELEMENTARY,A,2013-2014,5
GRANTS-CIBOLA ,CUBERO ELEMENTARY,D,2013-2014,2
GRANTS-CIBOLA ,GRANTS HIGH,C,2013-2014,3
GRANTS-CIBOLA ,LAGUNA-ACOMA HIGH,C,2013-2014,3
GRANTS-CIBOLA ,LAGUNA-ACOMA MIDDLE,D,2013-2014,2
GRANTS-CIBOLA ,LOS ALAMITOS MIDDLE,C,2013-2014,3
GRANTS-CIBOLA ,MESA VIEW ELEMENTARY,B,2013-2014,4
GRANTS-CIBOLA ,MILAN ELEMENTARY,F,2013-2014,1
GRANTS-CIBOLA ,MOUNT TAYLOR ELEMENTARY,D,2013-2014,2
GRANTS-CIBOLA ,SAN RAFAEL ELEMENTARY,F,2013-2014,1
GRANTS-CIBOLA ,SEBOYETA ELEMENTARY,B,2013-2014,4
GRANTS-CIBOLA ,BLUEWATER ELEMENTARY,B,2014-2015,4
GRANTS-CIBOLA ,CUBERO ELEMENTARY,C,2014-2015,3
GRANTS-CIBOLA ,GRANTS HIGH,C,2014-2015,3
GRANTS-CIBOLA ,LAGUNA-ACOMA HIGH,C,2014-2015,3
GRANTS-CIBOLA ,LAGUNA-ACOMA MIDDLE,F,2014-2015,1
GRANTS-CIBOLA ,LOS ALAMITOS MIDDLE,F,2014-2015,1
GRANTS-CIBOLA ,MESA VIEW ELEMENTARY,B,2014-2015,4
GRANTS-CIBOLA ,MILAN ELEMENTARY,C,2014-2015,3
GRANTS-CIBOLA ,MOUNT TAYLOR ELEMENTARY,D,2014-2015,2
GRANTS-CIBOLA ,SAN RAFAEL ELEMENTARY,D,2014-2015,2
GRANTS-CIBOLA ,SEBOYETA ELEMENTARY,C,2014-2015,3
GRANTS-CIBOLA ,BLUEWATER ELEMENTARY,A,2015-2016,5
GRANTS-CIBOLA ,CUBERO ELEMENTARY,D,2015-2016,2
GRANTS-CIBOLA ,GRANTS HIGH,C,2015-2016,3
GRANTS-CIBOLA ,LAGUNA-ACOMA HIGH,D,2015-2016,2
GRANTS-CIBOLA ,LAGUNA-ACOMA MIDDLE,F,2015-2016,1
GRANTS-CIBOLA ,LOS ALAMITOS MIDDLE,D,2015-2016,2
GRANTS-CIBOLA ,MESA VIEW ELEMENTARY,C,2015-2016,3
GRANTS-CIBOLA ,MILAN ELEMENTARY,C,2015-2016,3
GRANTS-CIBOLA ,MOUNT TAYLOR ELEMENTARY,C,2015-2016,3
GRANTS-CIBOLA ,SAN RAFAEL ELEMENTARY,C,2015-2016,3
GRANTS-CIBOLA ,SEBOYETA ELEMENTARY,D,2015-2016,2
GRANTS-CIBOLA ,BLUEWATER ELEMENTARY,B,2016-2017,4
GRANTS-CIBOLA ,CUBERO ELEMENTARY,C,2016-2017,3
GRANTS-CIBOLA ,GRANTS HIGH,C,2016-2017,3
GRANTS-CIBOLA ,LAGUNA-ACOMA HIGH,C,2016-2017,3
GRANTS-CIBOLA ,LAGUNA-ACOMA MIDDLE,F,2016-2017,1
GRANTS-CIBOLA ,LOS ALAMITOS MIDDLE,F,2016-2017,1
GRANTS-CIBOLA ,MESA VIEW ELEMENTARY,D,2016-2017,2
GRANTS-CIBOLA ,MILAN ELEMENTARY,C,2016-2017,3
GRANTS-CIBOLA ,MOUNT TAYLOR ELEMENTARY,C,2016-2017,3
GRANTS-CIBOLA ,SAN RAFAEL ELEMENTARY,C,2016-2017,3
GRANTS-CIBOLA ,SEBOYETA ELEMENTARY,C,2016-2017,3
GRANTS-CIBOLA ,BLUEWATER ELEMENTARY,B,2017-2018,4
GRANTS-CIBOLA ,CUBERO ELEMENTARY,B,2017-2018,4
GRANTS-CIBOLA ,GRANTS HIGH,D,2017-2018,2
GRANTS-CIBOLA ,LAGUNA-ACOMA HIGH,C,2017-2018,3
GRANTS-CIBOLA ,LAGUNA-ACOMA MIDDLE,F,2017-2018,1
GRANTS-CIBOLA ,LOS ALAMITOS MIDDLE,F,2017-2018,1
GRANTS-CIBOLA ,MESA VIEW ELEMENTARY,C,2017-2018,3
GRANTS-CIBOLA ,MILAN ELEMENTARY,B,2017-2018,4
GRANTS-CIBOLA ,MOUNT TAYLOR ELEMENTARY,D,2017-2018,2
GRANTS-CIBOLA ,SAN RAFAEL ELEMENTARY,B,2017-2018,4
GRANTS-CIBOLA ,SEBOYETA ELEMENTARY,C,2017-2018,3
HAGERMAN,HAGERMAN ELEMENTARY,B,2016-2017,4
HAGERMAN,HAGERMAN HIGH,C,2016-2017,3
HAGERMAN,HAGERMAN MIDDLE,D,2016-2017,2
HAGERMAN,HAGERMAN ELEMENTARY,B,2017-2018,4
HAGERMAN,HAGERMAN HIGH,B,2017-2018,4
HAGERMAN,HAGERMAN MIDDLE,F,2017-2018,1
HAGERMAN ,HAGERMAN ELEMENTARY,F,2012-2013,1
HAGERMAN ,HAGERMAN HIGH,A,2012-2013,5
HAGERMAN ,HAGERMAN MIDDLE,F,2012-2013,1
HAGERMAN ,HAGERMAN ELEMENTARY,D,2013-2014,2
HAGERMAN ,HAGERMAN HIGH,A,2013-2014,5
HAGERMAN ,HAGERMAN MIDDLE,D,2013-2014,2
HAGERMAN ,HAGERMAN ELEMENTARY,C,2014-2015,3
HAGERMAN ,HAGERMAN HIGH,A,2014-2015,5
HAGERMAN ,HAGERMAN MIDDLE,C,2014-2015,3
HAGERMAN ,HAGERMAN ELEMENTARY,B,2015-2016,4
HAGERMAN ,HAGERMAN HIGH,C,2015-2016,3
HAGERMAN ,HAGERMAN MIDDLE,D,2015-2016,2
HATCH,GARFIELD ELEMENTARY,D,2016-2017,2
HATCH,HATCH VALLEY ELEMENTARY,A,2016-2017,5
HATCH,HATCH VALLEY HIGH,D,2016-2017,2
HATCH,HATCH VALLEY MIDDLE,B,2016-2017,4
HATCH,RIO GRANDE ELEMENTARY,D,2016-2017,2
HATCH,GARFIELD ELEMENTARY,D,2017-2018,2
HATCH,HATCH VALLEY ELEMENTARY,A,2017-2018,5
HATCH,HATCH VALLEY HIGH,D,2017-2018,2
HATCH,HATCH VALLEY MIDDLE,B,2017-2018,4
HATCH,RIO GRANDE ELEMENTARY,D,2017-2018,2
HATCH ,GARFIELD ELEMENTARY,D,2012-2013,2
HATCH ,HATCH VALLEY ELEMENTARY,F,2012-2013,1
HATCH ,HATCH VALLEY HIGH,B,2012-2013,4
HATCH ,HATCH VALLEY MIDDLE,B,2012-2013,4
HATCH ,RIO GRANDE ELEMENTARY,F,2012-2013,1
HATCH ,GARFIELD ELEMENTARY,D,2013-2014,2
HATCH ,HATCH VALLEY ELEMENTARY,D,2013-2014,2
HATCH ,HATCH VALLEY HIGH,C,2013-2014,3
HATCH ,HATCH VALLEY MIDDLE,D,2013-2014,2
HATCH ,RIO GRANDE ELEMENTARY,D,2013-2014,2
HATCH ,GARFIELD ELEMENTARY,C,2014-2015,3
HATCH ,HATCH VALLEY ELEMENTARY,C,2014-2015,3
HATCH ,HATCH VALLEY HIGH,D,2014-2015,2
HATCH ,HATCH VALLEY MIDDLE,A,2014-2015,5
HATCH ,RIO GRANDE ELEMENTARY,B,2014-2015,4
HATCH ,GARFIELD ELEMENTARY,D,2015-2016,2
HATCH ,HATCH VALLEY ELEMENTARY,B,2015-2016,4
HATCH ,HATCH VALLEY HIGH,D,2015-2016,2
HATCH ,HATCH VALLEY MIDDLE,A,2015-2016,5
HATCH ,RIO GRANDE ELEMENTARY,D,2015-2016,2
HEALTH LEADERSHIP HIGH SCHOOL,HEALTH LEADERSHIP HIGH SCHOOL,NA,2013-2014,NA
HEALTH LEADERSHIP HIGH SCHOOL,HEALTH LEADERSHIP HIGH SCHOOL,F,2014-2015,1
HEALTH LEADERSHIP HIGH SCHOOL,HEALTH LEADERSHIP HIGH SCHOOL,D,2015-2016,2
HEALTH LEADERSHIP HIGH SCHOOL,HEALTH LEADERSHIP HIGH SCHOOL,F,2016-2017,1
HEALTH LEADERSHIP HIGH SCHOOL,HEALTH LEADERSHIP HIGH SCHOOL,F,2017-2018,1
HEALTH SCIENCES ACADEMY,HEALTH SCIENCES ACADEMY,F,2014-2015,1
HOBBS,B.T. WASHINGTON ELEMENTARY,B,2016-2017,4
HOBBS,BROADMOOR ELEMENTARY,A,2016-2017,5
HOBBS,COLLEGE LANE ELEMENTARY,B,2016-2017,4
HOBBS,CORONADO ELEMENTARY,B,2016-2017,4
HOBBS,EDISON ELEMENTARY,B,2016-2017,4
HOBBS,HEIZER MIDDLE SCHOOL,D,2016-2017,2
HOBBS,HIGHLAND MIDDLE SCHOOL,B,2016-2017,4
HOBBS,HOBBS FRESHMAN HIGH,D,2016-2017,2
HOBBS,HOBBS HIGH,B,2016-2017,4
HOBBS,HOUSTON MIDDLE SCHOOL,B,2016-2017,4
HOBBS,JEFFERSON ELEMENTARY,D,2016-2017,2
HOBBS,MILLS ELEMENTARY,B,2016-2017,4
HOBBS,MURRAY ELEMENTARY,C,2016-2017,3
HOBBS,SANGER ELEMENTARY,B,2016-2017,4
HOBBS,SOUTHERN HEIGHTS ELEMENTARY,D,2016-2017,2
HOBBS,STONE ELEMENTARY,B,2016-2017,4
HOBBS,TAYLOR ELEMENTARY,D,2016-2017,2
HOBBS,WILL ROGERS ELEMENTARY,C,2016-2017,3
HOBBS,B.T. WASHINGTON ELEMENTARY,B,2017-2018,4
HOBBS,BROADMOOR ELEMENTARY,A,2017-2018,5
HOBBS,COLLEGE LANE ELEMENTARY,B,2017-2018,4
HOBBS,CORONADO ELEMENTARY,B,2017-2018,4
HOBBS,EDISON ELEMENTARY,C,2017-2018,3
HOBBS,HEIZER MIDDLE SCHOOL,D,2017-2018,2
HOBBS,HIGHLAND MIDDLE SCHOOL,F,2017-2018,1
HOBBS,HOBBS FRESHMAN HIGH,D,2017-2018,2
HOBBS,HOBBS HIGH,C,2017-2018,3
HOBBS,HOUSTON MIDDLE SCHOOL,B,2017-2018,4
HOBBS,JEFFERSON ELEMENTARY,B,2017-2018,4
HOBBS,MILLS ELEMENTARY,A,2017-2018,5
HOBBS,MURRAY ELEMENTARY,D,2017-2018,2
HOBBS,SANGER ELEMENTARY,B,2017-2018,4
HOBBS,SOUTHERN HEIGHTS ELEMENTARY,C,2017-2018,3
HOBBS,STONE ELEMENTARY,C,2017-2018,3
HOBBS,TAYLOR ELEMENTARY,B,2017-2018,4
HOBBS,WILL ROGERS ELEMENTARY,C,2017-2018,3
HOBBS ,B.T. WASHINGTON ELEMENTARY,C,2012-2013,3
HOBBS ,BROADMOOR ELEMENTARY,C,2012-2013,3
HOBBS ,COLLEGE LANE ELEMENTARY,D,2012-2013,2
HOBBS ,CORONADO ELEMENTARY,B,2012-2013,4
HOBBS ,EDISON ELEMENTARY,C,2012-2013,3
HOBBS ,HEIZER MIDDLE SCHOOL,D,2012-2013,2
HOBBS ,HIGHLAND MIDDLE SCHOOL,C,2012-2013,3
HOBBS ,HOBBS FRESHMAN HIGH,B,2012-2013,4
HOBBS ,HOBBS HIGH,B,2012-2013,4
HOBBS ,HOUSTON MIDDLE SCHOOL,C,2012-2013,3
HOBBS ,JEFFERSON ELEMENTARY,D,2012-2013,2
HOBBS ,JENKINS-NUNAN CENTER,NA,2012-2013,NA
HOBBS ,MILLS ELEMENTARY,D,2012-2013,2
HOBBS ,SANGER ELEMENTARY,C,2012-2013,3
HOBBS ,SOUTHERN HEIGHTS ELEMENTARY,D,2012-2013,2
HOBBS ,STONE ELEMENTARY,C,2012-2013,3
HOBBS ,TAYLOR ELEMENTARY,D,2012-2013,2
HOBBS ,WILL ROGERS ELEMENTARY,C,2012-2013,3
HOBBS ,B.T. WASHINGTON ELEMENTARY,B,2013-2014,4
HOBBS ,BROADMOOR ELEMENTARY,B,2013-2014,4
HOBBS ,COLLEGE LANE ELEMENTARY,D,2013-2014,2
HOBBS ,CORONADO ELEMENTARY,B,2013-2014,4
HOBBS ,EDISON ELEMENTARY,B,2013-2014,4
HOBBS ,HEIZER MIDDLE SCHOOL,D,2013-2014,2
HOBBS ,HIGHLAND MIDDLE SCHOOL,C,2013-2014,3
HOBBS ,HOBBS FRESHMAN HIGH,B,2013-2014,4
HOBBS ,HOBBS HIGH,B,2013-2014,4
HOBBS ,HOUSTON MIDDLE SCHOOL,B,2013-2014,4
HOBBS ,JEFFERSON ELEMENTARY,B,2013-2014,4
HOBBS ,JENKINS-NUNAN CENTER,NA,2013-2014,NA
HOBBS ,MILLS ELEMENTARY,F,2013-2014,1
HOBBS ,SANGER ELEMENTARY,B,2013-2014,4
HOBBS ,SOUTHERN HEIGHTS ELEMENTARY,C,2013-2014,3
HOBBS ,STONE ELEMENTARY,B,2013-2014,4
HOBBS ,TAYLOR ELEMENTARY,B,2013-2014,4
HOBBS ,WILL ROGERS ELEMENTARY,C,2013-2014,3
HOBBS ,B.T. WASHINGTON ELEMENTARY,A,2014-2015,5
HOBBS ,BROADMOOR ELEMENTARY,B,2014-2015,4
HOBBS ,COLLEGE LANE ELEMENTARY,D,2014-2015,2
HOBBS ,CORONADO ELEMENTARY,D,2014-2015,2
HOBBS ,EDISON ELEMENTARY,C,2014-2015,3
HOBBS ,HEIZER MIDDLE SCHOOL,F,2014-2015,1
HOBBS ,HIGHLAND MIDDLE SCHOOL,F,2014-2015,1
HOBBS ,HOBBS FRESHMAN HIGH,D,2014-2015,2
HOBBS ,HOBBS HIGH,C,2014-2015,3
HOBBS ,HOUSTON MIDDLE SCHOOL,C,2014-2015,3
HOBBS ,JEFFERSON ELEMENTARY,F,2014-2015,1
HOBBS ,JENKINS-NUNAN CENTER,NA,2014-2015,NA
HOBBS ,MILLS ELEMENTARY,F,2014-2015,1
HOBBS ,SANGER ELEMENTARY,D,2014-2015,2
